country,iso3,continent,lat_grid,lon_grid,inform_risk_score,risk_label,eq_count,eq_mag_mean,eq_depth_mean,has_seismic_activity,eq_frequency_score,seismic_energy_proxy,mag_depth_ratio,depth_category,lat_abs,neighbor_eq_count
United States of America,USA,North America,70.5,-152.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,70.5,0.00024706946637879896
United States of America,USA,North America,59.5,-151.5,3.2,Low,6,4.8667,47.4167,1,1.9459101490553132,19954920.412558857,0.10051697038418562,1,59.5,1.6279453340709278
United States of America,USA,North America,60.5,-151.5,3.2,Low,10,4.84,64.1,1,2.3978952727983707,18197008.586099826,0.07434715821812596,1,60.5,2.1792165703504995
United States of America,USA,North America,61.5,-151.5,3.2,Low,12,4.9583,80.6667,1,2.5649493574615367,27381043.80200782,0.06071385276985601,2,61.5,2.337341796796807
United States of America,USA,North America,62.5,-151.5,3.2,Low,8,4.875,88.0875,1,2.1972245773362196,20535250.26457146,0.05472148168935036,2,62.5,2.175097505226391
United States of America,USA,North America,63.5,-151.5,3.2,Low,3,4.8,12.2,1,1.3862943611198906,15848931.924611108,0.36363636363636365,1,63.5,1.8376814841218858
United States of America,USA,North America,64.5,-151.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,64.5,1.3061181439095804
United States of America,USA,North America,65.5,-151.5,3.2,Low,1,5.1,14.8,1,0.6931471805599453,44668359.21509626,0.3227848101265822,1,65.5,0.7073010020289365
United States of America,USA,North America,66.5,-151.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,66.5,0.27833598912056073
United States of America,USA,North America,67.5,-151.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,67.5,0.058778311549890716
United States of America,USA,North America,68.5,-151.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,68.5,0.007296243196014495
United States of America,USA,North America,69.5,-151.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,69.5,0.0014726845858790837
