country,iso3,continent,lat_grid,lon_grid,inform_risk_score,risk_label,eq_count,eq_mag_mean,eq_mag_max,eq_depth_mean
United States of America,USA,North America,67.5,-145.5,3.2,Low,1,4.6,4.6,10.7
United States of America,USA,North America,68.5,-145.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,69.5,-145.5,3.2,Low,5,4.98,6.4,11.82
United States of America,USA,North America,60.5,-144.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,61.5,-144.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,62.5,-144.5,3.2,Low,1,5.0,5.0,0.0
United States of America,USA,North America,63.5,-144.5,3.2,Low,11,4.8182,5.4,2.3727
United States of America,USA,North America,64.5,-144.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,65.5,-144.5,3.2,Low,1,4.8,4.8,15.2
United States of America,USA,North America,66.5,-144.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,67.5,-144.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,68.5,-144.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,69.5,-144.5,3.2,Low,26,4.8,6.0,12.8538
United States of America,USA,North America,60.5,-143.5,3.2,Low,2,4.85,5.2,4.35
United States of America,USA,North America,61.5,-143.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,62.5,-143.5,3.2,Low,6,4.8333,5.1,5.1167
United States of America,USA,North America,63.5,-143.5,3.2,Low,2,4.7,4.8,3.6
United States of America,USA,North America,64.5,-143.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,65.5,-143.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,66.5,-143.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,67.5,-143.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,68.5,-143.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,69.5,-143.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,60.5,-142.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,61.5,-142.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,62.5,-142.5,3.2,Low,6,4.8333,5.3,2.4667
United States of America,USA,North America,63.5,-142.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,64.5,-142.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,65.5,-142.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,66.5,-142.5,3.2,Low,4,4.9,5.4,7.25
United States of America,USA,North America,67.5,-142.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,68.5,-142.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,69.5,-142.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,60.5,-141.5,3.2,Low,2,4.9,5.0,12.15
United States of America,USA,North America,61.5,-141.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,62.5,-141.5,3.2,Low,1,5.0,5.0,1.1
United States of America,USA,North America,63.5,-141.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,64.5,-141.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,65.5,-141.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,66.5,-141.5,3.2,Low,1,4.5,4.5,20.0
United States of America,USA,North America,67.5,-141.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,68.5,-141.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,69.5,-141.5,3.2,Low,0,0.0,0.0,0.0
Canada,CAN,North America,60.5,-140.5,2.7,Low,5,5.1,6.0,15.196
Canada,CAN,North America,61.5,-140.5,2.7,Low,7,5.0714,5.7,7.0857
Canada,CAN,North America,62.5,-140.5,2.7,Low,0,0.0,0.0,0.0
Canada,CAN,North America,63.5,-140.5,2.7,Low,0,0.0,0.0,0.0
Canada,CAN,North America,64.5,-140.5,2.7,Low,1,4.5,4.5,10.0
Canada,CAN,North America,65.5,-140.5,2.7,Low,0,0.0,0.0,0.0
Canada,CAN,North America,66.5,-140.5,2.7,Low,0,0.0,0.0,0.0
